Time Type Treat
.31    1   1
.82    1   2
.43    1   3
.45    1   4
.36    2   1
.92    2   2
.44    2   3
.56    2   4
.22    3   1
.3     3   2
.23    3   3
.3     3   4  
.45    1   1
1.1    1   2
.45    1   3  
.71    1   4
.29    2   1
.61    2   2
.35    2   3
1.02   2   4
.21    3   1
.37    3   2
.25    3   3
.36    3   4
.46    1   1
.88    1   2
.63    1   3
.66    1   4
.4     2   1
.49    2   2
.31    2   3
.71    2   4
.18    3   1
.38    3   2
.24    3   3
.31    3   4
.43    1   1
.72    1   2
.76    1   3
.62    1   4
.23    2   1
1.24   2   2
.4     2   3
.38    2   4
.23    3   1
.29    3   2
.22    3   3
.33    3   4
