,total time,count,normalized total time,normalized count
Child affect,37.99999999999999,17,0.09270327632895023,0.04147251835768827
Child affective touch,60.13999999999999,7,0.14671513259008073,0.017076919323753995
Child gaze,346.0200000000001,95,0.8441365177721941,0.23175819082237564
Child gesture,16.22,6,0.039569661633041396,0.014637359420360567
Child prop manipulation,110.29999999999998,20,0.269083457344295,0.04879119806786855
Child utterance,28.32,23,0.06908833646410187,0.056109877778048836
Conversational turns,438.80999999999983,77,1.0705032812080695,0.18784611256129394
Joint attention,152.47999999999996,69,0.3719840940694298,0.16832963333414652
Mutual gaze,51.56000000000003,26,0.1257837086189652,0.06342855748822912
Non-verbal scaffolding,12.249999999999998,9,0.029884608816569486,0.02195603913054085
Parent affect,72.04,22,0.17574589544046254,0.053670317874655406
Parent affective touch,34.36,10,0.08382327828059817,0.024395599033934276
Parent gaze,386.7200000000001,157,0.9434266058403066,0.3830109048327681
Parent gesture,11.22,8,0.02737186211607426,0.019516479227147422
Parent prop manipulation,2.74,1,0.006684394135297992,0.0024395599033934278
Parent utterance,149.57999999999998,101,0.36490937034958887,0.24639555024273618
Verbal scaffolding,119.13999999999993,75,0.2906491668902928,0.18296699275450706
robot pointing,37.640000000000015,20,0.09182503476372865,0.04879119806786855
robot text,210.18799999999993,65,0.5127662169744576,0.1585713937205728
start-end,0.565,2,0.0013783513454172865,0.0048791198067868555
CP,68.71999999999994,18,0.1676465565611962,0.0439120782610817
CPC,67.12000000000006,8,0.163743260715767,0.019516479227147422
MG,51.56000000000003,26,0.1257837086189652,0.06342855748822912
PC,128.57999999999993,27,0.3136786123783267,0.06586811739162254
PCP,174.38999999999987,24,0.42543485155277955,0.058549437681442267
affect,7.16,1,0.017467248908296942,0.0024395599033934278
affective,11.24,6,0.02742065331414213,0.014637359420360567
affective touch,94.5,17,0.23053841087067892,0.04147251835768827
child,272.6000000000001,87,0.6650240296650486,0.2122417115952282
cognitive,106.90999999999995,71,0.26081334927179123,0.17320875314093337
correction,3.76,1,0.009172745236759287,0.0024395599033934278
end,0.285,1,0.0006952745724671268,0.0024395599033934278
instruction translation,2.72,3,0.006635602937230123,0.007318679710180283
other,28.449,12,0.06940303969163963,0.029274718840721133
parent,64.52,28,0.15740040496694394,0.06830767729501598
pick up,33.377,14,0.08142519089556244,0.03415383864750799
point at prop,63.620000000000005,33,0.15520480105388987,0.08050547681198311
positive 1,48.48,22,0.11826986411651337,0.053670317874655406
positive 2,30.76,11,0.07504086262838183,0.026835158937327703
positive 3,23.64,5,0.05767119611622063,0.012197799516967138
positive feedback,41.171,15,0.10043912078261082,0.036593398550901414
props,328.15999999999985,89,0.8005659778975869,0.21712083140201507
put down,21.490999999999996,8,0.052428581883828144,0.019516479227147422
robot,323.40000000000003,135,0.7889536727574346,0.32934058695811275
robot or prop,9.58,3,0.023370983874509036,0.007318679710180283
song,49.6,1,0.12100217120831401,0.0024395599033934278
start,0.28,1,0.0006830767729501598,0.0024395599033934278
teach,33.8,15,0.08245712473469785,0.036593398550901414
technical,10.52,4,0.025664170183698858,0.009758239613573711
utterance,177.89999999999998,124,0.4339977068136907,0.302505428020785
Child affect:positive 1,12.479999999999999,9,0.030445707594349974,0.02195603913054085
Child affect:positive 2,11.9,5,0.02903076285038179,0.012197799516967138
Child affect:positive 3,13.620000000000001,3,0.03322680588421849,0.007318679710180283
Child affective touch:affective touch,60.13999999999999,7,0.14671513259008073,0.017076919323753995
Child gaze:parent,61.779999999999994,27,0.15071601083164596,0.06586811739162254
Child gaze:props,154.12,28,0.3759849723109951,0.06830767729501598
Child gaze:robot,124.29999999999998,38,0.303237295991803,0.09270327632895026
Child gaze:robot or prop,5.82,2,0.014198238637749749,0.0048791198067868555
Child gesture:point at prop,16.22,6,0.039569661633041396,0.014637359420360567
Child prop manipulation:child,110.29999999999998,20,0.269083457344295,0.04879119806786855
Child utterance:utterance,28.32,23,0.06908833646410187,0.056109877778048836
Conversational turns:CP,68.71999999999994,18,0.1676465565611962,0.0439120782610817
Conversational turns:CPC,67.12000000000006,8,0.163743260715767,0.019516479227147422
Conversational turns:PC,128.57999999999993,27,0.3136786123783267,0.06586811739162254
Conversational turns:PCP,174.38999999999987,24,0.42543485155277955,0.058549437681442267
Joint attention:props,79.43999999999988,30,0.19379863872557362,0.07318679710180283
Joint attention:robot,73.04000000000008,39,0.17818545534385616,0.09514283623234368
Mutual gaze:MG,51.56000000000003,26,0.1257837086189652,0.06342855748822912
Non-verbal scaffolding:affective,1.28,1,0.0031226366763435873,0.0024395599033934278
Non-verbal scaffolding:cognitive,4.83,6,0.011783074333390256,0.014637359420360567
Non-verbal scaffolding:technical,6.140000000000001,2,0.014978897806835647,0.0048791198067868555
Parent affect:affect,7.16,1,0.017467248908296942,0.0024395599033934278
Parent affect:positive 1,36.0,13,0.0878241565221634,0.03171427874411456
Parent affect:positive 2,18.86,6,0.046010099778000045,0.014637359420360567
Parent affect:positive 3,10.02,2,0.024444390232002143,0.0048791198067868555
Parent affective touch:affective touch,34.36,10,0.08382327828059817,0.024395599033934276
Parent gaze:child,162.30000000000004,67,0.3959405723207534,0.16345051352735965
Parent gaze:props,94.6,31,0.23078236686101825,0.07562635700519625
Parent gaze:robot,126.05999999999996,58,0.3075309214217754,0.1414944743968188
Parent gaze:robot or prop,3.76,1,0.009172745236759287,0.0024395599033934278
Parent gesture:other,1.46,1,0.0035617574589544045,0.0024395599033934278
Parent gesture:point at prop,9.76,7,0.023810104657119854,0.017076919323753995
Parent prop manipulation:parent,2.74,1,0.006684394135297992,0.0024395599033934278
Parent utterance:utterance,149.57999999999998,101,0.36490937034958887,0.24639555024273618
Verbal scaffolding:affective,9.96,5,0.024298016637798542,0.012197799516967138
Verbal scaffolding:cognitive,102.07999999999996,65,0.249030274938401,0.1585713937205728
Verbal scaffolding:instruction translation,2.72,3,0.006635602937230123,0.007318679710180283
Verbal scaffolding:technical,4.38,2,0.010685272376863213,0.0048791198067868555
robot pointing:point at prop,37.640000000000015,20,0.09182503476372865,0.04879119806786855
robot text:correction,3.76,1,0.009172745236759287,0.0024395599033934278
robot text:other,26.989,11,0.06584128223268522,0.026835158937327703
robot text:pick up,33.377,14,0.08142519089556244,0.03415383864750799
robot text:positive feedback,41.171,15,0.10043912078261082,0.036593398550901414
